platform,date,content_type,views,likes,comments,shares,watch_time,followers_gained,engagement_rate,virality_score,watch_time_per_view,follower_conversion_rate,day_of_week,month,week,performance_category
Instagram,2025-01-09,Story,36032,4414,854,374,40708,306,0.1565830373001776,0.36800621669627,1.1297735346358793,0.008492451154529308,Thursday,1,2,High
Instagram,2025-02-09,Post,45991,2493,380,190,49220,676,0.06659998695396925,0.15385618925441935,1.0702093887934596,0.014698527972864256,Sunday,2,6,Low
Instagram,2025-02-05,Post,12802,779,148,40,14593,219,0.07553507264489924,0.17200437431651305,1.139900015622559,0.017106702077800344,Wednesday,2,6,Low
Instagram,2025-06-12,Reel,53136,4540,726,427,20379,1010,0.10714016862390846,0.252051339957844,0.3835252935862692,0.01900782896717856,Thursday,6,24,Medium
Instagram,2025-06-02,Story,49420,4963,522,210,42229,943,0.11523674625657629,0.2537838931606637,0.8544921084581141,0.019081343585592877,Monday,6,23,Medium
Instagram,2025-05-21,Reel,19213,1924,189,156,8219,334,0.11809712174048821,0.27038984021235624,0.4277832717430906,0.017384062874095666,Wednesday,5,21,Medium
Instagram,2025-03-04,Reel,92499,5585,383,311,66512,1223,0.06788181493853987,0.14999081071146714,0.7190564222315917,0.01322176455961686,Tuesday,3,10,Low
YouTube,2025-01-20,Short,83069,8446,1344,406,95429,716,0.12274133551625757,0.27632450131818126,1.1487919681228858,0.00861934054821895,Monday,1,4,Medium
Instagram,2025-06-07,Post,7626,685,64,64,8880,58,0.10660896931549961,0.24678730658274325,1.1644374508261213,0.007605559926567008,Saturday,6,23,Medium
YouTube,2025-04-27,Short,32730,4042,696,141,13102,230,0.1490681332111213,0.33232508402077604,0.4003055300947143,0.007027192178429576,Sunday,4,17,High
Instagram,2025-01-29,Reel,59354,4416,308,148,51102,536,0.08208376857499074,0.17683728139636756,0.8609697745729016,0.009030562388381576,Wednesday,1,5,Low
Instagram,2025-03-01,Reel,90324,11634,1973,1024,58433,531,0.1619835259731633,0.3798215313759355,0.6469266197245472,0.005878836189717019,Saturday,3,9,High
YouTube,2025-03-13,Video,42685,5342,340,114,14815,732,0.13578540470891415,0.28754831908164463,0.347077427667799,0.0171488813400492,Thursday,3,11,Medium
Instagram,2025-06-16,Reel,22337,2211,237,199,19636,215,0.11850293235438958,0.2743430183104266,0.8790795541030577,0.00962528540090433,Monday,6,25,Medium
Instagram,2025-01-14,Reel,87988,9128,755,380,94873,682,0.11664090557803337,0.2548188389325817,1.078249306723644,0.007751056962313043,Tuesday,1,3,Medium
Instagram,2025-04-07,Story,24889,1919,167,124,23355,446,0.0887942464542569,0.19924464622925792,0.9383663465788099,0.01791956285909438,Monday,4,15,Low
YouTube,2025-02-24,Video,9396,1295,156,114,4208,185,0.16656023839931886,0.38612175393784587,0.44785014899957426,0.019689229459344402,Monday,2,9,High
Instagram,2025-06-27,Reel,108317,11936,905,245,85307,2119,0.12081206089533499,0.25676486608750243,0.7875679717865155,0.01956294949084631,Friday,6,26,Medium
YouTube,2025-05-19,Short,17795,1249,211,123,17833,188,0.08895757235178421,0.210508569822984,1.0021354313009272,0.0105647653835347,Monday,5,21,Low
Instagram,2025-03-01,Reel,22870,2051,346,142,19304,359,0.11101880192391779,0.25579361609094886,0.8440752076956712,0.01569742020113686,Saturday,3,9,Medium
Instagram,2025-06-13,Reel,76522,9501,1525,435,30751,1505,0.14977392122526856,0.33653067091816735,0.4018582891194689,0.01966754658790936,Friday,6,24,High
Instagram,2025-01-16,Story,15856,1699,161,145,15533,155,0.12645055499495458,0.290489404641776,0.9796291624621595,0.00977547931382442,Thursday,1,3,Medium
Instagram,2025-04-24,Reel,45494,5076,840,168,28008,244,0.13373192069283862,0.2970061986195982,0.6156416230711742,0.005363344616872555,Thursday,4,17,Medium
YouTube,2025-03-23,Video,32761,2353,246,193,37980,449,0.08522328378254632,0.19562894905527914,1.1593052715118586,0.013705320350416654,Sunday,3,12,Low
YouTube,2025-06-29,Video,44484,3233,560,210,22574,466,0.08998741120402841,0.20672601384767555,0.5074633576117256,0.010475676647783472,Sunday,6,26,Low
Instagram,2025-06-27,Post,42920,4559,607,416,17932,654,0.13005591798695246,0.303331780055918,0.4178005591798695,0.015237651444547997,Friday,6,26,Medium
Instagram,2025-03-13,Post,47268,3578,367,114,46836,494,0.08587204874333587,0.18674367436743675,0.9908606245239908,0.010451045104510451,Thursday,3,11,Low
YouTube,2025-06-28,Video,7505,1009,178,35,5535,113,0.16282478347768153,0.36335776149233845,0.737508327781479,0.015056628914057296,Saturday,6,26,High
YouTube,2025-05-13,Short,114824,11637,731,465,70639,833,0.11176234933463387,0.24203999163937853,0.615193687730788,0.007254580923848673,Tuesday,5,20,Medium
YouTube,2025-05-26,Short,44926,5573,672,143,23854,243,0.14218937808841206,0.3088857231892445,0.5309620264434849,0.005408894626719494,Monday,5,22,High
Instagram,2025-01-04,Post,47973,2474,174,59,57203,440,0.05642757384362037,0.12017176328351364,1.1923998916056948,0.00917182581868968,Saturday,1,1,Low
YouTube,2025-03-03,Short,82180,10253,1064,755,62404,485,0.14689705524458505,0.33430275006084204,0.759357507909467,0.005901679240691166,Monday,3,10,High
YouTube,2025-03-02,Short,91164,5372,292,280,101631,1580,0.06520117590276864,0.14281953402658945,1.1148150585757537,0.017331402746698258,Sunday,3,9,Low
Instagram,2025-02-07,Post,36534,5247,549,217,25921,513,0.16458641265670335,0.36201894126019596,0.7095034762139377,0.014041714567252422,Friday,2,6,High
Instagram,2025-01-17,Story,36691,2492,205,86,25750,335,0.07584966340519474,0.16431822517783654,0.7018069826387943,0.009130304434329944,Friday,1,3,Low
YouTube,2025-05-26,Video,5295,491,78,23,4614,49,0.11180358829084042,0.25136921624173747,0.8713881019830029,0.009254013220018885,Monday,5,22,Medium
YouTube,2025-05-06,Short,23630,2407,129,88,10694,205,0.11104528142192129,0.23872196360558612,0.45256030469741854,0.008675412611087601,Tuesday,5,19,Medium
YouTube,2025-04-27,Short,9328,878,174,30,10776,103,0.11599485420240137,0.2602915951972556,1.1552315608919383,0.011042024013722127,Sunday,4,17,Medium
YouTube,2025-03-17,Video,27948,2719,469,99,11626,447,0.11761127808787748,0.26263059968512953,0.4159868326892801,0.015993988836410476,Monday,3,12,Medium
YouTube,2025-01-03,Video,23941,2369,445,98,17133,136,0.12163234618436991,0.27413224176099577,0.7156342675744539,0.005680631552566726,Friday,1,1,Medium
Instagram,2025-05-12,Post,25517,1624,203,79,12911,364,0.07469530117176784,0.1666340087000823,0.5059764078849395,0.0142649998040522,Monday,5,20,Low
Instagram,2025-06-18,Reel,11155,1623,305,53,12607,151,0.17758852532496638,0.39677274764679515,1.1301658449125953,0.013536530703720304,Wednesday,6,25,High
Instagram,2025-04-09,Story,41701,4670,697,334,31006,506,0.13671134984772548,0.3141651279345819,0.7435313301839285,0.012134001582695859,Wednesday,4,15,Medium
YouTube,2025-04-24,Short,61272,3664,251,242,56850,912,0.06784501893197545,0.15163533098315707,0.9278300039169605,0.014884449667058363,Thursday,4,17,Low
Instagram,2025-06-08,Post,27651,3824,292,93,10904,237,0.15221872626668112,0.3250877002640049,0.3943437850348993,0.008571118585222958,Sunday,6,23,High
YouTube,2025-01-11,Short,37457,2987,576,76,13594,603,0.09715140027231225,0.21576741330058466,0.362922818164829,0.016098459566970126,Saturday,1,2,Low
YouTube,2025-04-07,Short,127501,18778,3597,1571,88156,1744,0.1878102916839868,0.44079654277221353,0.6914141849867844,0.013678324091575753,Monday,4,15,High
Instagram,2025-06-01,Post,47467,2396,322,81,29526,374,0.05896728253312828,0.12983757136536964,0.6220321486506415,0.00787915815197927,Sunday,6,22,Low
Instagram,2025-01-03,Post,35656,1995,256,177,11770,682,0.06809513125420687,0.15826228404756562,0.3300987211128562,0.019127215615885124,Friday,1,1,Low
Instagram,2025-01-31,Story,6735,531,30,14,5192,34,0.08537490720118783,0.18144023756495917,0.7708982925018559,0.005048255382331106,Friday,1,5,Low
Instagram,2025-01-03,Story,43963,5177,650,325,19733,304,0.13993585515092236,0.31683461092282145,0.4488547187407593,0.006914905716170416,Friday,1,1,Medium
YouTube,2025-01-23,Short,46981,5510,405,128,50294,789,0.12862646601817757,0.27404695515208277,1.070517868925736,0.016794023115727634,Thursday,1,4,Medium
YouTube,2025-02-03,Short,36697,4021,604,235,18246,507,0.1324358939422841,0.30054227866038097,0.49720685614627896,0.013815843256941985,Monday,2,6,Medium
Instagram,2025-04-25,Reel,49225,5634,865,238,47535,318,0.13686135093956323,0.30579989842559674,0.9656678517013713,0.0064601320467242256,Friday,4,17,Medium
Instagram,2025-06-22,Reel,26579,3324,167,290,29523,420,0.1422551638511607,0.3235260920275405,1.1107641371007186,0.015801948907031866,Sunday,6,25,High
Instagram,2025-02-27,Post,31481,4211,601,326,15386,398,0.16320955496966424,0.376576347638258,0.48873923954131065,0.012642546297766908,Thursday,2,9,High
YouTube,2025-05-26,Video,29350,3720,743,221,12100,261,0.15959114139693356,0.36708688245315163,0.4122657580919932,0.00889267461669506,Monday,5,22,High
YouTube,2025-02-03,Short,37142,4905,943,462,21625,518,0.16988853588928976,0.40248236497765333,0.5822249744224867,0.01394647568790049,Monday,2,6,High
Instagram,2025-05-27,Post,6726,490,32,20,3106,97,0.08058281296461493,0.17484388938447815,0.46179006839131725,0.014421647338685697,Tuesday,5,22,Low
Instagram,2025-02-28,Reel,26866,1927,154,119,19298,529,0.081887888036924,0.18279609915878806,0.7183056651529814,0.019690314896151268,Friday,2,9,Low
YouTube,2025-05-10,Video,26564,3255,308,215,20274,211,0.14222255684384882,0.320320734829092,0.7632133714801987,0.007943080861316067,Saturday,5,19,High
Instagram,2025-04-03,Story,4205,406,72,39,1555,55,0.12294887039239001,0.29084423305588586,0.3697978596908442,0.013079667063020214,Thursday,4,14,Medium
Instagram,2025-04-07,Post,41257,4286,638,146,27304,745,0.12288823714763555,0.27185689701141624,0.6618028455777202,0.018057541750490826,Monday,4,15,Medium
YouTube,2025-02-14,Short,60095,4327,246,429,69034,459,0.08323487810965971,0.19197936600382728,1.1487478159580664,0.007637906647807638,Friday,2,7,Low
YouTube,2025-01-28,Video,2092,274,20,26,1021,22,0.15296367112810708,0.3527724665391969,0.48804971319311663,0.010516252390057362,Tuesday,1,5,High
YouTube,2025-03-26,Short,93905,5184,705,109,80214,850,0.06387306320217241,0.1387359565518343,0.854203716522017,0.009051701187370215,Wednesday,3,13,Low
Instagram,2025-06-11,Reel,143334,14158,2550,1173,137791,2298,0.12475058255542998,0.2918428286380063,0.9613280868461077,0.01603248356984386,Wednesday,6,24,Medium
YouTube,2025-02-23,Video,47490,2808,517,227,15440,688,0.07479469361970942,0.1748157506843546,0.3251210781217098,0.014487260475889661,Sunday,2,8,Low
YouTube,2025-05-18,Video,43967,2605,469,179,19781,785,0.07398730866331567,0.17085541428798873,0.44990561102645166,0.01785429981577092,Sunday,5,20,Low
YouTube,2025-03-18,Short,7234,1069,169,51,8568,74,0.1781863422726016,0.4008847110865358,1.1844069670998065,0.010229471938070224,Tuesday,3,12,High
YouTube,2025-02-07,Video,4630,678,105,65,2701,42,0.18315334773218142,0.43110151187904966,0.5833693304535638,0.009071274298056155,Friday,2,6,High
Instagram,2025-03-14,Story,28198,3122,352,112,32639,439,0.12717213986807574,0.27874317327470033,1.1574934392510108,0.015568480034044967,Friday,3,11,Medium
Instagram,2025-04-18,Post,29976,2633,519,230,14645,278,0.11282359220709902,0.26597945022684816,0.48855751267680814,0.009274085935414999,Friday,4,16,Medium
YouTube,2025-02-07,Short,62139,5163,313,139,24192,580,0.09036193051062939,0.1924717166352854,0.38932071645826294,0.009333912679637587,Friday,2,6,Low
Instagram,2025-04-04,Story,22063,2042,395,191,18886,371,0.119113447853873,0.28210125549562615,0.856003263382133,0.01681548293523093,Friday,4,14,Medium
Instagram,2025-06-16,Reel,54143,6964,598,606,40714,756,0.15085976026448478,0.3463420940841845,0.7519716306817132,0.013963023844264262,Monday,6,25,High
Instagram,2025-04-26,Post,15440,1340,124,78,12588,149,0.09987046632124352,0.22292746113989637,0.8152849740932643,0.009650259067357513,Saturday,4,17,Low
YouTube,2025-02-08,Short,76628,10224,570,730,37954,384,0.15038889178890222,0.3367959492613666,0.4953019783891006,0.005011223051626037,Saturday,2,6,High
YouTube,2025-01-06,Short,64181,6195,381,465,19476,1163,0.10970536451597825,0.24708246988984278,0.30345429332668544,0.018120627600068558,Monday,1,2,Medium
YouTube,2025-06-18,Short,22979,1650,127,153,11862,134,0.08398972975325297,0.19348100439531746,0.5162104530223247,0.005831411288567823,Wednesday,6,25,Low
Instagram,2025-02-03,Reel,54027,6282,420,285,42578,952,0.12932422677550115,0.2822477650063857,0.7880874377626002,0.01762081922001962,Monday,2,6,Medium
Instagram,2025-05-17,Story,44623,4136,698,345,51230,814,0.11606122403244963,0.27095892252874076,1.1480626582703988,0.018241713914349103,Saturday,5,20,Medium
Instagram,2025-06-26,Story,41152,2390,364,106,15349,721,0.06949844479004666,0.15556959564541212,0.37298308709175737,0.017520412130637635,Thursday,6,26,Low
YouTube,2025-03-16,Short,6066,492,90,29,3663,111,0.10072535443455324,0.23062973953181667,0.6038575667655787,0.018298714144411473,Sunday,3,11,Low
YouTube,2025-05-03,Short,54194,8045,1368,586,19679,1007,0.18450381961102705,0.42668930139867883,0.36312137875041517,0.018581392774107836,Saturday,5,18,High
Instagram,2025-03-13,Story,46992,5356,640,267,23877,408,0.13327800476676882,0.29722080354102826,0.5081077630234934,0.008682328907048007,Thursday,3,11,Medium
YouTube,2025-06-13,Video,41082,3882,762,302,27994,446,0.12039335962221898,0.28138844262694124,0.6814176524998783,0.010856336108271263,Friday,6,24,Medium
Instagram,2025-06-25,Story,14719,1729,331,125,7691,272,0.14844758475439906,0.344860384536993,0.5225219104558734,0.018479516271485835,Wednesday,6,26,High
Instagram,2025-03-30,Reel,76183,8732,466,403,86543,1523,0.12602549125132903,0.27403751493115264,1.1359883438562408,0.01999133664990877,Sunday,3,13,Medium
Instagram,2025-06-23,Reel,74261,8300,1523,794,70921,1386,0.14296871843901915,0.3385222391295566,0.9550234982022865,0.01866390164420086,Monday,6,26,High
Instagram,2025-02-09,Reel,6875,363,51,8,5725,87,0.06138181818181818,0.13367272727272728,0.8327272727272728,0.012654545454545455,Sunday,2,6,Low
Instagram,2025-04-29,Post,38624,3418,352,307,25454,448,0.10555613090306545,0.24407104391052195,0.6590202982601492,0.0115990057995029,Tuesday,4,18,Medium
Instagram,2025-05-28,Story,34126,2691,316,252,18061,551,0.0954990329953701,0.2224110648772197,0.5292445642618532,0.016146047002285648,Wednesday,5,22,Low
Instagram,2025-05-06,Post,43848,4795,434,157,25122,813,0.12283342455756249,0.26630633096150336,0.5729337712096333,0.018541324575807334,Tuesday,5,19,Medium
Instagram,2025-04-01,Story,47646,2436,337,86,49991,674,0.06000503714897368,0.13249800612853124,1.0492171430970072,0.01414599336775385,Tuesday,4,14,Low
YouTube,2025-04-22,Short,27824,2641,300,71,27880,172,0.10825186889016676,0.23494105807935595,1.0020126509488212,0.006181713628522139,Tuesday,4,17,Medium
Instagram,2025-01-02,Reel,75181,9785,1492,961,48916,890,0.16278048975139994,0.3837538739841183,0.650643114616725,0.011838097391628204,Thursday,1,1,High
YouTube,2025-02-03,Video,26663,2337,344,231,27307,188,0.10921501706484642,0.25732288189626074,1.0241533210816487,0.0070509695083073925,Monday,2,6,Medium
Instagram,2025-03-20,Story,31953,3116,376,210,12539,208,0.11585766594685945,0.26319907363940787,0.39242011704691265,0.006509560917597722,Thursday,3,12,Medium
YouTube,2025-06-22,Video,30864,4314,768,163,27062,414,0.16993908761016072,0.3806052358735096,0.8768144116122343,0.013413685847589424,Sunday,6,25,High
YouTube,2025-02-04,Short,128610,11667,2326,358,107865,1725,0.11158541326490942,0.24960734002021615,0.8386983904828551,0.013412642873804526,Tuesday,2,6,Medium
YouTube,2025-02-12,Video,24468,1332,112,76,20829,162,0.06212195520680072,0.13813961092038582,0.8512751348700344,0.006620892594409024,Wednesday,2,7,Low
YouTube,2025-06-18,Video,39547,2440,170,160,21672,619,0.0700432396894834,0.1565226186562824,0.548006169873821,0.01565226186562824,Wednesday,6,25,Low
YouTube,2025-01-22,Video,16128,2131,383,109,17835,281,0.16263640873015872,0.36929563492063494,1.1058407738095237,0.01742311507936508,Wednesday,1,4,High
YouTube,2025-04-29,Video,19411,2193,278,98,7593,223,0.13234763793725207,0.29416310339498225,0.39116995518005254,0.011488331358508063,Tuesday,4,18,Medium
Instagram,2025-03-05,Reel,74250,4520,585,355,67629,1379,0.07353535353535354,0.1692929292929293,0.9108282828282829,0.018572390572390574,Wednesday,3,10,Low
YouTube,2025-06-28,Video,10083,657,54,34,7960,159,0.07388674005752256,0.16324506595259347,0.7894475850441337,0.01576911633442428,Saturday,6,26,Low
YouTube,2025-03-08,Short,87729,11908,1891,514,83510,1601,0.16315015559279145,0.365432183200538,0.9519087188956902,0.018249381618393005,Saturday,3,10,High
Instagram,2025-06-06,Post,44648,2601,308,70,36596,358,0.06672191363554919,0.14504569073642717,0.8196559756316072,0.008018276294570865,Friday,6,23,Low
YouTube,2025-04-16,Short,45731,5208,1016,196,36581,670,0.1403861713061162,0.31584701843388513,0.7999169053814699,0.014650893267149198,Wednesday,4,16,High
YouTube,2025-01-25,Video,12995,860,91,17,14521,165,0.07449018853405155,0.1599076567910735,1.1174297806848787,0.012697191227395151,Saturday,1,4,Low
YouTube,2025-03-17,Video,23394,2123,302,170,10480,417,0.11092587843036676,0.2565615114986749,0.4479781140463367,0.017825083354706336,Monday,3,12,Medium
Instagram,2025-01-19,Reel,62476,5492,941,533,38215,594,0.11149881554516934,0.2636532428452526,0.6116748831551315,0.009507650937960176,Sunday,1,3,Medium
YouTube,2025-03-28,Short,24338,3431,379,328,24213,371,0.17002218752568002,0.3960473333881174,0.9948639986851837,0.015243651902374887,Friday,3,13,High
Instagram,2025-02-04,Story,40859,2513,494,160,38630,279,0.07751046281113096,0.17885900291245502,0.9454465356469811,0.006828360948628209,Tuesday,2,6,Low
Instagram,2025-03-25,Story,41446,3465,332,287,44769,271,0.09853785648796023,0.22586015538290788,1.0801766153549197,0.0065386285769434924,Tuesday,3,13,Low
YouTube,2025-01-03,Short,46857,6633,856,478,26227,406,0.17002795740230917,0.388928015024436,0.559724267452035,0.00866466056298952,Friday,1,1,High
Instagram,2025-04-20,Reel,90578,9924,558,849,55701,1680,0.12509660182384244,0.28447305085120006,0.6149506502682771,0.018547550177747354,Sunday,4,16,Medium
